VSP_w,eng_on,mot_control,HVAC_adjust_rate,t_value,delta_elec_energy_rate
12000,1,0,-0.201653821,-6.418130409,-100.8269105
11000,1,0,-0.201653821,-6.418130409,-100.8269105
13000,1,1,1.896565276,10.08124238,948.282638
12000,1,1,1.896565276,10.08124238,948.282638
11000,1,1,1.896565276,10.08124238,948.282638
14000,0,1,1.11556787,12.42268837,557.783935
15000,0,1,1.11556787,12.42268837,557.783935
16000,0,1,1.11556787,12.42268837,557.783935
16000,1,0,-0.168182901,-7.646126865,-84.0914505
15000,1,0,-0.168182901,-7.646126865,-84.0914505
14000,1,0,-0.168182901,-7.646126865,-84.0914505
16000,1,1,1.670118485,12.14716215,835.0592425
15000,1,1,1.670118485,12.14716215,835.0592425
14000,1,1,1.670118485,12.14716215,835.0592425
17000,0,1,0.921350655,11.72600199,460.6753275
18000,0,1,0.921350655,11.72600199,460.6753275
19000,0,1,0.921350655,11.72600199,460.6753275
20000,0,1,0.921350655,11.72600199,460.6753275
21000,0,1,0.921350655,11.72600199,460.6753275
22000,0,1,0.921350655,11.72600199,460.6753275
23000,0,1,0.921350655,11.72600199,460.6753275
24000,0,1,0.921350655,11.72600199,460.6753275
25000,0,1,0.921350655,11.72600199,460.6753275
26000,0,1,0.921350655,11.72600199,460.6753275
27000,0,1,0.921350655,11.72600199,460.6753275
28000,0,1,0.921350655,11.72600199,460.6753275
29000,0,1,0.921350655,11.72600199,460.6753275
30000,0,1,0.921350655,11.72600199,460.6753275
31000,0,1,0.921350655,11.72600199,460.6753275
32000,0,1,0.921350655,11.72600199,460.6753275
33000,0,1,0.921350655,11.72600199,460.6753275
34000,0,1,0.921350655,11.72600199,460.6753275
35000,0,1,0.921350655,11.72600199,460.6753275
36000,0,1,0.921350655,11.72600199,460.6753275
37000,0,1,0.921350655,11.72600199,460.6753275
38000,0,1,0.921350655,11.72600199,460.6753275
39000,0,1,0.921350655,11.72600199,460.6753275
40000,0,1,0.921350655,11.72600199,460.6753275
41000,0,1,0.921350655,11.72600199,460.6753275
42000,0,1,0.921350655,11.72600199,460.6753275
43000,0,1,0.921350655,11.72600199,460.6753275
44000,0,1,0.921350655,11.72600199,460.6753275
45000,0,1,0.921350655,11.72600199,460.6753275
46000,0,1,0.921350655,11.72600199,460.6753275
47000,0,1,0.921350655,11.72600199,460.6753275
48000,0,1,0.921350655,11.72600199,460.6753275
49000,0,1,0.921350655,11.72600199,460.6753275
50000,0,1,0.921350655,11.72600199,460.6753275
51000,0,1,0.921350655,11.72600199,460.6753275
52000,0,1,0.921350655,11.72600199,460.6753275
53000,0,1,0.921350655,11.72600199,460.6753275
54000,0,1,0.921350655,11.72600199,460.6753275
55000,0,1,0.921350655,11.72600199,460.6753275
56000,0,1,0.921350655,11.72600199,460.6753275
57000,0,1,0.921350655,11.72600199,460.6753275
58000,0,1,0.921350655,11.72600199,460.6753275
59000,0,1,0.921350655,11.72600199,460.6753275
60000,0,1,0.921350655,11.72600199,460.6753275
19000,1,0,0.037590428,2.327360935,18.795214
18000,1,0,0.037590428,2.327360935,18.795214
17000,1,0,0.037590428,2.327360935,18.795214
20000,1,0,0.037590428,2.327360935,18.795214
21000,1,0,0.037590428,2.327360935,18.795214
22000,1,0,0.037590428,2.327360935,18.795214
23000,1,0,0.037590428,2.327360935,18.795214
24000,1,0,0.037590428,2.327360935,18.795214
25000,1,0,0.037590428,2.327360935,18.795214
26000,1,0,0.037590428,2.327360935,18.795214
27000,1,0,0.037590428,2.327360935,18.795214
28000,1,0,0.037590428,2.327360935,18.795214
29000,1,0,0.037590428,2.327360935,18.795214
